epoch,train_loss,train_acc,train_pos_acc,train_neg_acc,train_tp,train_fp,train_fn,train_tn,train_precision,train_recall,train_f1,val_loss,val_acc,val_pos_acc,val_neg_acc,val_tp,val_fp,val_fn,val_tn,val_precision,val_recall,val_f1,lr,weight_decay,pos_weight,saved_best_model
1,562.1589829142059,0.5314073878202927,0.5082039121698643,0.5388265469492189,3479227.0,9874325.0,3366897.0,11536979.0,0.2605469316328719,0.5082039121698643,0.34448344617012666,182.8284041926546,0.4357009073391376,0.8920845844982109,0.29111124354455314,1550782.0,3889696.0,187598.0,1597337.0,0.28504517433946064,0.8920845844982109,0.43204141940124735,5e-05,1e-06,10,1
2,390.5969638553276,0.47585802925871384,0.7190230559656822,0.39810760708455684,4922521.0,12887301.0,1923603.0,8524003.0,0.2763936102224941,0.7190230559656822,0.39929686737633185,205.24250167270876,0.46270310084696886,0.9625662973573097,0.30433842843664327,1673306.0,3817118.0,65074.0,1669915.0,0.30476808348499135,0.9625662973573097,0.46295514444713126,5e-05,1e-06,10,0
3,342.6408068399294,0.4782021208724304,0.766536802430105,0.38600899786393206,5247806.0,13146348.0,1598318.0,8264956.0,0.2852974918009276,0.766536802430105,0.41582790807613135,178.83648717628336,0.4500080479828627,0.9767404134884202,0.2831307921785781,1697946.0,3933485.0,40434.0,1553548.0,0.3015123509459674,0.9767404134884202,0.4607841367980807,5e-05,1e-06,10,1
4,305.3384630103812,0.4992449418963396,0.7817202843535992,0.40892530412907124,5351754.0,12655680.0,1494370.0,8755624.0,0.2971969243369155,0.7817202843535992,0.4306630060774397,149.66344365533791,0.4994758085108768,0.9843515226820373,0.3458594107234274,1711177.0,3589291.0,27203.0,1897742.0,0.3228350779591538,0.9843515226820373,0.48620939108217703,5e-05,1e-06,10,1
5,275.21626480608757,0.5207890824317061,0.7885439994951888,0.4351762041209634,5398470.0,12093614.0,1447654.0,9317690.0,0.30862360368267155,0.7885439994951888,0.44362099296710755,125.53700098001732,0.532463819023217,0.9864390984709902,0.3886371742251231,1714806.0,3354568.0,23574.0,2132465.0,0.3382678019021678,0.9864390984709902,0.5037802482287109,5e-05,1e-06,10,1
6,247.30617812459502,0.5345140753786933,0.7981107265950778,0.45023077529514316,5463965.0,11771276.0,1382159.0,9640028.0,0.3170228371045116,0.7981107265950778,0.4537919673573321,111.68272677007711,0.5620996336126391,0.9839200865173322,0.42846015323764225,1710427.0,3136058.0,27953.0,2350975.0,0.3529211376905118,0.9839200865173322,0.5195025258680322,5e-05,1e-06,10,1
7,222.4117042939245,0.5479262656176634,0.8005614563802818,0.4671478206091511,5480743.0,11409060.0,1365381.0,10002244.0,0.3245001140629053,0.8005614563802818,0.46180989687068047,101.2345214339922,0.5776893306998506,0.9813608071883018,0.44979973694344466,1705978.0,3018967.0,32402.0,2468066.0,0.3610577477621433,0.9813608071883018,0.5278948528814503,5e-05,1e-06,10,1
8,198.27282593713554,0.5575064368915671,0.8054350169526582,0.47823289978041505,5514108.0,11171714.0,1332016.0,10239590.0,0.3304666680490778,0.8054350169526582,0.468648704191315,90.19580895046018,0.59165282316734,0.9781883132571705,0.46919218455584283,1700463.0,2912560.0,37917.0,2574473.0,0.368622267870765,0.9781883132571705,0.5354605903609013,5e-05,1e-06,10,1
9,175.0254735449479,0.5676143632038981,0.8082038829562538,0.49068744248365254,5533064.0,10905046.0,1313060.0,10506258.0,0.3365997672481812,0.8082038829562538,0.47526270351002314,77.70933637079203,0.6079119629563043,0.9755157100288775,0.49144920396870223,1695817.0,2790435.0,42563.0,2696598.0,0.378003063581805,0.9755157100288775,0.5448730141797941,5e-05,1e-06,10,1
10,154.51262845586263,0.5759425804783083,0.8104317128933102,0.5009662185918242,5548316.0,10684964.0,1297808.0,10726340.0,0.34178650278933154,0.8104317128933102,0.4808023638738678,71.2048024951287,0.615246630192627,0.9752614503158112,0.5011881648971311,1695375.0,2736997.0,43005.0,2750036.0,0.38249835528245374,0.9752614503158112,0.5494873234250867,5e-05,1e-06,10,1
11,133.16732980628714,0.5844768320740302,0.8126141156660324,0.5115314321818045,5563257.0,10458749.0,1282867.0,10952555.0,0.3472259965450019,0.8126141156660324,0.4865511084640502,67.17608014592585,0.6170313032625263,0.9778707762399476,0.502711574725357,1699911.0,2728638.0,38469.0,2758395.0,0.38385281499651464,0.9778707762399476,0.5512990339275837,5e-05,1e-06,10,1
12,116.28067474003652,0.5910312148720683,0.817618845349573,0.5185813063977794,5597520.0,10307802.0,1248604.0,11103502.0,0.35192748691287107,0.817618845349573,0.4920583948818023,58.0557274368574,0.6275226066662211,0.9761369781060527,0.5170759862388289,1696897.0,2649820.0,41483.0,2837213.0,0.3903858935375825,0.9761369781060527,0.5577222515927026,5e-05,1e-06,10,1
13,100.4225576771379,0.599194661311709,0.8199255520349908,0.5286174069547562,5613312.0,10092916.0,1232812.0,11318388.0,0.3573940222948502,0.8199255520349908,0.4978028012333259,50.72984202402942,0.6343647069032594,0.9762318940622878,0.5260557025992006,1697062.0,2600548.0,41318.0,2886485.0,0.3948850640239575,0.9762318940622878,0.5623143842186618,5e-05,1e-06,10,1
14,86.30766459098925,0.6062045349633378,0.8227153057700971,0.5369766362665254,5632411.0,9913934.0,1213713.0,11497370.0,0.36229808356883886,0.8227153057700971,0.5030629717517975,42.617459926965104,0.6440632528548887,0.9736473038115947,0.5396457429725683,1692569.0,2525979.0,45811.0,2961054.0,0.4012207517847373,0.9736473038115947,0.5682690809759662,5e-05,1e-06,10,1
15,73.41833273268423,0.6137275126384468,0.8232353080370732,0.5467387693902249,5635971.0,9704914.0,1210153.0,11706390.0,0.3673823902597536,0.8232353080370732,0.5080424314967377,37.01104944157151,0.6495913797591916,0.9726469471576985,0.547242198105971,1690830.0,2484297.0,47550.0,3002736.0,0.4049769024990138,0.9726469471576985,0.5718535549209631,5e-05,1e-06,10,1
16,62.166453790890664,0.6212039892661144,0.8261026239080683,0.5556889949346383,5655601.0,9513278.0,1190523.0,11898026.0,0.37284238340882014,0.8261026239080683,0.5137951605094035,30.41775170812067,0.6558816776286698,0.9706174714389258,0.5561683335966815,1687302.0,2435319.0,51078.0,3051714.0,0.4092789514243487,0.9706174714389258,0.5757726367902001,5e-05,1e-06,10,1
17,51.820795280673494,0.6273513994267277,0.8277124399149066,0.563287271060184,5666622.0,9350589.0,1179502.0,12060715.0,0.37734183797510734,0.8277124399149066,0.5183675774990412,26.673657957113015,0.6569325518139932,0.9719451443297783,0.5571315135155921,1689610.0,2430034.0,48770.0,3056999.0,0.4101349534085955,0.9719451443297783,0.5768532187645528,5e-05,1e-06,10,1
18,43.54325101499874,0.6334066568266581,0.8292622219521586,0.5707831246522864,5677232.0,9190093.0,1168892.0,12221211.0,0.38185968222259214,0.8292622219521586,0.5229230971090774,21.20920710293752,0.661965066910362,0.969783361520496,0.5644432974979374,1685852.0,2389914.0,52528.0,3097119.0,0.41362826030738764,0.969783361520496,0.5799138858914104,5e-05,1e-06,10,1
19,35.56219458015044,0.6398735935910373,0.8288844899683383,0.5794385993492036,5674646.0,9004768.0,1171478.0,12406536.0,0.38657169829803834,0.8288844899683383,0.52724777424843,18.641961340634328,0.6597633934558481,0.9742150738043466,0.560140061122286,1693556.0,2413526.0,44824.0,3073507.0,0.41235017951918174,0.9742150738043466,0.579442993556369,5e-05,1e-06,10,1
20,29.16709020804455,0.6438565463212009,0.8317296034953501,0.5837853687005705,5694124.0,8911698.0,1152000.0,12499606.0,0.38985303257837867,0.8317296034953501,0.5308724905423499,15.326536925333851,0.6620439551344678,0.9756957627216144,0.5626740353119801,1696130.0,2399622.0,42250.0,3087411.0,0.4141193119114634,0.9756957627216144,0.5814506768101922,5e-05,1e-06,10,1
21,23.945006940037153,0.6499088310514318,0.833016024833906,0.5913615069871503,5702931.0,8749483.0,1143193.0,12661821.0,0.3946005836810376,0.833016024833906,0.5355232363836429,11.56816472647325,0.6686875892077034,0.9733890173609913,0.5721532930456222,1692120.0,2347609.0,46260.0,3139424.0,0.4188696816048799,0.9733890173609913,0.5857002697595355,5e-05,1e-06,10,1
22,19.214755928346896,0.6558965663824747,0.8350688652440418,0.598607399157006,5716985.0,8594339.0,1129139.0,12816965.0,0.3994728230595576,0.8350688652440418,0.5404229281338657,9.790725849709421,0.6704145493136517,0.9766282400855969,0.5734011441155903,1697751.0,2340762.0,40629.0,3146271.0,0.42039012874293086,0.9766282400855969,0.587773046861003,5e-05,1e-06,10,1
