epoch,train_loss,train_acc,train_pos_acc,train_neg_acc,train_tp,train_fp,train_fn,train_tn,train_precision,train_recall,train_f1,val_loss,val_acc,val_pos_acc,val_neg_acc,val_tp,val_fp,val_fn,val_tn,val_precision,val_recall,val_f1,lr,weight_decay,pos_weight,saved_best_model
1,327.1814150697247,0.5269725539068878,0.5571833054732868,0.5173128642702004,3814546.0,10334961.0,3031578.0,11076343.0,0.2695886153489305,0.5571833054732868,0.36336569260528534,64.21181748948007,0.538287153966147,0.9386072090106881,0.41145934423940955,1631656.0,3229342.0,106724.0,2257691.0,0.33566275896431147,0.9386072090106881,0.4944878138515478,5e-05,1e-06,4,1
2,274.4685268311704,0.5424578627608996,0.5986707222948343,0.524484169670376,4098574.0,10181414.0,2747550.0,11229890.0,0.2870152271836643,0.5986707222948343,0.38801025006399664,39.0639118698408,0.6258986164527897,0.95238440387027,0.5224626861183448,1655606.0,2620263.0,82774.0,2866770.0,0.3871975497846169,0.95238440387027,0.5505611756347301,5e-05,1e-06,4,1
3,239.42184798977385,0.564175161306259,0.610167884776846,0.5494692896798813,4177285.0,9646450.0,2668839.0,11764854.0,0.30218208031331617,0.610167884776846,0.40419095263301025,53.66951147115456,0.6266522065935884,0.9314344389604114,0.5300923103615378,1619187.0,2578399.0,119193.0,2908634.0,0.38574242433627326,0.9314344389604114,0.5455513053814661,5e-05,1e-06,4,0
4,214.55713631869492,0.5789073230585601,0.6308170871576384,0.5623095165058607,4318652.0,9371524.0,2527472.0,12039780.0,0.3154562804744073,0.6308170871576384,0.42058715542721914,51.9579881272226,0.6565746483972612,0.8838389765183676,0.5845736666792418,1536448.0,2279458.0,201932.0,3207575.0,0.402643042045585,0.8838389765183676,0.5532477081662702,5e-05,1e-06,4,0
5,190.36737519756878,0.5943199076717103,0.6384411091589928,0.580212442922673,4370847.0,8988199.0,2475277.0,12423105.0,0.32718256977332066,0.6384411091589928,0.4326463969370216,51.134502320919395,0.6733451776389806,0.8713221505079441,0.6106228994795548,1514689.0,2136525.0,223691.0,3350508.0,0.414845308984902,0.8713221505079441,0.5620790731175669,5e-05,1e-06,4,0
6,168.9531710475542,0.6071527458196124,0.6475015643888425,0.5942514757625225,4432876.0,8687605.0,2413248.0,12723699.0,0.33785925988536547,0.6475015643888425,0.44402901745189033,47.745225456525695,0.6885977313684353,0.8640510130121147,0.6330113195965834,1502049.0,2013679.0,236331.0,3473354.0,0.42723697623934503,0.8640510130121147,0.5717617528988745,5e-05,1e-06,4,0
7,151.20647363527127,0.6201871592842774,0.6512206030740898,0.610264419205855,4458337.0,8344747.0,2387787.0,13066557.0,0.3482236779825861,0.6512206030740898,0.45379304855442515,45.31918466316079,0.6931025257656552,0.8694295838654379,0.6372392876077108,1511399.0,1990480.0,226981.0,3496553.0,0.43159658000747597,0.8694295838654379,0.5768413355141415,5e-05,1e-06,4,0
8,133.0528747865939,0.6284787844102443,0.6598051685888249,0.6184623785641453,4517108.0,8169218.0,2329016.0,13242086.0,0.3560611638073939,0.6598051685888249,0.4625234417597383,41.102113471840916,0.7000153486036023,0.8693536511004498,0.646366260235723,1511267.0,1940400.0,227113.0,3546633.0,0.4378368481084647,0.8693536511004498,0.582371219374314,5e-05,1e-06,4,0
9,116.4426280197939,0.6375721456319379,0.6632234531539306,0.6293703083193812,4540510.0,7935665.0,2305614.0,13475639.0,0.36393445907900457,0.6632234531539306,0.4699761658796398,36.74615163623162,0.7066340706060678,0.8723357378708912,0.6541371265673088,1516451.0,1897761.0,221929.0,3589272.0,0.44415841781353943,0.8723357378708912,0.5886167583228015,5e-05,1e-06,4,1
10,101.81997445635321,0.6442005266721373,0.6683545317029023,0.6364774420091368,4575638.0,7783492.0,2270486.0,13627812.0,0.3702233085985826,0.6683545317029023,0.47649856648602507,34.80856579654622,0.7027893076838653,0.8915582323772708,0.6429842867721044,1549867.0,1958957.0,188513.0,3528076.0,0.4417055400897851,0.8915582323772708,0.590740135127203,5e-05,1e-06,4,1
11,87.90677175476652,0.6504784157992015,0.6751518085269855,0.6425892603271618,4622173.0,7652630.0,2223951.0,13758674.0,0.37655781522522197,0.6751518085269855,0.48346745950130987,30.609641372032886,0.707948735940769,0.8959168881372312,0.6483974125907389,1557444.0,1929255.0,180936.0,3557778.0,0.4466815173893703,0.8959168881372312,0.596141799961302,5e-05,1e-06,4,1
12,75.82729782086413,0.6562262142187888,0.6824658741208894,0.64783625509217,4672246.0,7540285.0,2173878.0,13871019.0,0.3825780257998936,0.6824658741208894,0.49030175529175596,26.96498100712614,0.7098417765185188,0.9024672396138934,0.6488149424288135,1568831.0,1926964.0,169549.0,3560069.0,0.44877660160278277,0.9024672396138934,0.5994568389478763,5e-05,1e-06,4,1
13,64.4602344521979,0.6618942460014408,0.6860172266818422,0.6541810811709553,4696559.0,7404434.0,2149565.0,14006870.0,0.388113520931712,0.6860172266818422,0.4957544728308797,23.04534339904785,0.7139360753496029,0.9034635695302523,0.6538907274660094,1570563.0,1899113.0,167817.0,3587920.0,0.4526540806692037,0.9034635695302523,0.6031283073761111,5e-05,1e-06,4,1
14,54.71179930519719,0.6666053612522697,0.6900339520581281,0.6591142230291065,4724058.0,7298809.0,2122066.0,14112495.0,0.39292275295068974,0.6900339520581281,0.5007218456991156,19.78466123005129,0.7148759524196057,0.9075374774215074,0.6538376933399161,1577645.0,1899404.0,160735.0,3587629.0,0.4537310230600719,0.9075374774215074,0.6049914589959905,5e-05,1e-06,4,1
15,46.28745110001044,0.6718965717615913,0.6919096119205553,0.6654975334524231,4736899.0,7162134.0,2109225.0,14249170.0,0.3980910885783744,0.6919096119205553,0.505399768057424,17.5623091436782,0.7117764756146119,0.9173535130408771,0.6466463751903807,1594709.0,1938863.0,143671.0,3548170.0,0.45130225165922755,0.9173535130408771,0.6049785734012754,5e-05,1e-06,4,1
16,38.37587668658433,0.6760213279142037,0.6967985096384465,0.6693779603521579,4770369.0,7079049.0,2075755.0,14332255.0,0.40258255721926595,0.6967985096384465,0.5103215515228176,13.829639146912772,0.7154634620886031,0.9148086149173368,0.6523077225888745,1590285.0,1907799.0,148095.0,3579234.0,0.4546160126514972,0.9148086149173368,0.6073888792131484,5e-05,1e-06,4,1
