epoch,train_loss,train_acc,train_pos_acc,train_neg_acc,train_tp,train_fp,train_fn,train_tn,train_precision,train_recall,train_f1,val_loss,val_acc,val_pos_acc,val_neg_acc,val_tp,val_fp,val_fn,val_tn,val_precision,val_recall,val_f1,lr,weight_decay,pos_weight,saved_best_model
1,843.9704184509567,0.5248784142703999,0.5211192493738063,0.5260803825866934,3567647.0,10147237.0,3278477.0,11264067.0,0.26012957893045247,0.5211192493738063,0.34703035960104683,227.6563724301896,0.43185047000081517,0.9130138404721637,0.2794102021985288,1587165.0,3953900.0,151215.0,1533133.0,0.2864368131397123,0.9130138404721637,0.436067584822744,5e-05,1e-06,17,1
2,495.65217380614075,0.44857150480928415,0.7657071358917834,0.34716946711886393,5242126.0,13977953.0,1603998.0,7433351.0,0.2727421671888029,0.7657071358917834,0.4022163105228636,286.61908930652544,0.3976316647920333,0.9714918487327282,0.21582356074767547,1688822.0,4302802.0,49558.0,1184231.0,0.2818638152193796,0.9714918487327282,0.4369524258978391,5e-05,1e-06,17,0
3,429.05741325486895,0.43345094960517994,0.8306051716270404,0.3064634923683303,5686426.0,14849521.0,1159698.0,6561783.0,0.2769010847174469,0.8306051716270404,0.4153393656747147,273.38100908387383,0.4384482935439123,0.9870413833569185,0.26464520989758944,1715853.0,4034916.0,22527.0,1452117.0,0.2983693137387365,0.9870413833569185,0.4582237581332672,5e-05,1e-06,17,0
4,386.27092934558743,0.4451718323408627,0.8483159229952598,0.3162691539011356,5807676.0,14639569.0,1038448.0,6771735.0,0.28403220091508663,0.8483159229952598,0.42557413853892506,240.91151528988243,0.4290633628832013,0.9963914679184068,0.2493247261315906,1732107.0,4118980.0,6273.0,1368053.0,0.2960316604418974,0.9963914679184068,0.45645023556990233,5e-05,1e-06,17,0
5,352.4980692569678,0.4657441929959089,0.8537971266661253,0.34166681300681173,5845201.0,14095772.0,1000923.0,7315532.0,0.2931251649555917,0.8537971266661253,0.4364191461284514,206.73246455642413,0.4739590664229159,0.9997814056765494,0.3073701215210479,1738000.0,3800483.0,380.0,1686550.0,0.31380433956373976,0.9997814056765494,0.4776783622283393,5e-05,1e-06,17,1
6,318.18184358135784,0.48346976235770645,0.8617289140541422,0.3625238799094161,5899503.0,13649195.0,946621.0,7762109.0,0.3017849577501274,0.8617289140541422,0.44701972227734665,180.34678282827701,0.485461661499488,0.9995357746867773,0.3225947429147957,1737573.0,3716945.0,807.0,1770088.0,0.3185566534018221,0.9995357746867773,0.4831357263789921,5e-05,1e-06,17,1
7,289.3545599480941,0.4996111464921719,0.8641998012305941,0.38303631577039865,5916419.0,13209997.0,929705.0,8201307.0,0.30933233910629154,0.8641998012305941,0.45559032732262617,159.9976835430793,0.512178334996214,0.9990445127072332,0.35793132645639275,1736719.0,3523052.0,1661.0,1963981.0,0.33018908998129387,0.9990445127072332,0.49633653232118036,5e-05,1e-06,17,1
8,260.83187710730385,0.5112974542481361,0.8675051751911008,0.3974023721301608,5939048.0,12902401.0,907076.0,8508903.0,0.3152118502138556,0.8675051751911008,0.4624063160813207,142.13854426258015,0.5358857687442918,0.9974804127981224,0.38964518711660745,1734000.0,3349037.0,4380.0,2137996.0,0.34113464057019455,0.9974804127981224,0.5083987681738267,5e-05,1e-06,17,1
9,232.7663241924268,0.5233792332409022,0.8694066890988243,0.41273922410330544,5952066.0,12574019.0,894058.0,8837285.0,0.3212802920854568,0.8694066890988243,0.46917995985292404,122.03668097729953,0.5586815591025731,0.9952501754507069,0.4203696241666489,1730123.0,3180451.0,8257.0,2306582.0,0.3523260213571774,0.9952501754507069,0.520419602842793,5e-05,1e-06,17,1
10,207.49822086858524,0.533645171103329,0.8702652771115451,0.42601310036978596,5957944.0,12289808.0,888180.0,9121496.0,0.32650290293292017,0.8702652771115451,0.47485243013076184,110.98740016289477,0.5706900076161736,0.9944810685810928,0.436426207022994,1728786.0,3092348.0,9594.0,2394685.0,0.35858493043337936,0.9944810685810928,0.5271079534245983,5e-05,1e-06,17,1
11,180.63370445215307,0.5438044821347505,0.8718809358404843,0.4389041881802248,5969005.0,12013793.0,877119.0,9397511.0,0.33192860198952356,0.8718809358404843,0.48081064494060605,103.12637451459777,0.5773896938486422,0.9954837262278673,0.4449308032227982,1730529.0,3045683.0,7851.0,2441350.0,0.36232248484782503,0.9954837262278673,0.5312777837813941,5e-05,1e-06,17,1
12,159.12319653407093,0.5519712197444155,0.875383793808,0.4485621707113215,5992986.0,11807003.0,853138.0,9604301.0,0.3366848148052226,0.875383793808,0.4863230157226009,89.61418043892338,0.5901449508837765,0.9937763895120745,0.4622680417631897,1727561.0,2950553.0,10819.0,2536480.0,0.36928578482696234,0.9937763895120745,0.5384750613029484,5e-05,1e-06,17,1
13,138.44970223123994,0.5615116492555515,0.8771956219314754,0.4605737698180363,6005390.0,11549819.0,840734.0,9861485.0,0.3420859301646594,0.8771956219314754,0.49221819152256974,78.06414460236172,0.6007413001858856,0.9929204201612996,0.4764926691711167,1726073.0,2872502.0,12307.0,2614531.0,0.3753495376285045,0.9929204201612996,0.5447641651234701,5e-05,1e-06,17,1
14,119.71104244937264,0.5695852078257087,0.8792845411505839,0.47056087756261833,6019691.0,11335982.0,826433.0,10075322.0,0.34684284498791834,0.8792845411505839,0.4974581846133161,66.50773897710836,0.6116454519623999,0.9910111713204247,0.49145631163508585,1722754.0,2790396.0,15626.0,2696637.0,0.3817187551931578,0.9910111713204247,0.551146359371226,5e-05,1e-06,17,1
15,102.52657069527143,0.5783113027838203,0.8796542393915155,0.481958875554707,6022222.0,11091936.0,823902.0,10319368.0,0.3518853805136075,0.8796542393915155,0.5026837330211723,57.619494690085354,0.6198034631376781,0.9898192570093995,0.5025765290640679,1720682.0,2729379.0,17698.0,2757654.0,0.3866648120104421,0.9898192570093995,0.5560954689557516,5e-05,1e-06,17,1
16,87.49518164865214,0.5869927015296651,0.8816270345088696,0.49278530630362355,6035728.0,10860128.0,810396.0,10551176.0,0.35723126428160845,0.8816270345088696,0.5084435249292603,47.98180959809501,0.6290231437289467,0.9878743427789091,0.5153333322398462,1717301.0,2659382.0,21079.0,2827651.0,0.39237500179930784,0.9878743427789091,0.5616625699522638,5e-05,1e-06,17,1
