epoch,train_loss,train_acc,train_pos_acc,train_neg_acc,train_tp,train_fp,train_fn,train_tn,train_precision,train_recall,train_f1,val_loss,val_acc,val_pos_acc,val_neg_acc,val_tp,val_fp,val_fn,val_tn,val_precision,val_recall,val_f1,lr,weight_decay,pos_weight,saved_best_model
1,437.45940858379925,0.5382778291074475,0.49356876971553537,0.5525732575652562,3379033.0,9579990.0,3467091.0,11831314.0,0.2607475115986753,0.49356876971553537,0.34122776266189797,144.53569862077822,0.43901836476337064,0.8590785674018339,0.30593655988582535,1493405.0,3808349.0,244975.0,1678684.0,0.28168130773325206,0.8590785674018339,0.4242547087882134,5e-05,1e-06,7,1
2,330.2895607970902,0.5000226135230709,0.6717409734325583,0.44511679438113627,4598822.0,11880773.0,2247302.0,9530531.0,0.27906159101604133,0.6717409734325583,0.394313418591727,143.04761181237564,0.47032052008653347,0.9526938874124184,0.3174969058870249,1656144.0,3744917.0,82236.0,1742116.0,0.30663308561040137,0.9526938874124184,0.4639422049989628,5e-05,1e-06,7,1
3,289.92011020533846,0.5103399361045882,0.7088922140469556,0.44685414769693615,4853164.0,11843574.0,1992960.0,9567730.0,0.29066539823527204,0.7088922140469556,0.4122832644561226,118.87445021575351,0.5120580650545512,0.9676768025402961,0.36771074640885154,1682190.0,3469392.0,56190.0,2017641.0,0.32653852738828576,0.9676768025402961,0.48830167713551975,5e-05,1e-06,7,1
4,257.54367766900083,0.5315718755436624,0.7254756121858149,0.4695724277232251,4966696.0,11357146.0,1879428.0,10054158.0,0.30426023481481873,0.7254756121858149,0.42871845388120117,96.7783417971629,0.5468974576262976,0.9734367629632187,0.41176296916748995,1692203.0,3227676.0,46177.0,2259357.0,0.34395215817299574,0.9734367629632187,0.5083019449979341,5e-05,1e-06,7,1
5,230.81200925998778,0.5521715918377285,0.7333181519937413,0.4942511675141318,5020387.0,10828742.0,1825737.0,10582562.0,0.3167610661759394,0.7333181519937413,0.4424173636663138,86.25584015756283,0.5903962859977693,0.9728413810559257,0.4692315500927368,1691168.0,2912344.0,47212.0,2574689.0,0.36736474239667455,0.9728413810559257,0.533332324170768,5e-05,1e-06,7,1
6,206.58003891135843,0.5651019264739876,0.7438074449133554,0.5079620092265282,5092198.0,10535175.0,1753926.0,10876129.0,0.3258511843289336,0.7438074449133554,0.4531736204650305,78.31535094639041,0.60525066179608,0.9676618460865863,0.49043298992369827,1682164.0,2796011.0,56216.0,2691022.0,0.3756360570991531,0.9676618460865863,0.5411884878361086,5e-05,1e-06,7,1
7,184.66937514390992,0.5772845992919101,0.7467733567198024,0.5230916809177059,5112503.0,10211229.0,1733621.0,11200075.0,0.333633020989926,0.7467733567198024,0.4612121071061535,71.6450156085896,0.6161034670267291,0.9649317180363327,0.5055890861235935,1677418.0,2712849.0,60962.0,2774184.0,0.38207653429734456,0.9649317180363327,0.5474023875090211,5e-05,1e-06,7,1
8,163.6993415073196,0.5858804276171207,0.7528902485552409,0.5324801329241787,5154380.0,10010210.0,1691744.0,11401094.0,0.3398957703439394,0.7528902485552409,0.4683519126185548,63.84644614525561,0.6292589779989047,0.9612518551755083,0.5240783133617021,1671021.0,2611398.0,67359.0,2875635.0,0.39020492856957717,0.9612518551755083,0.5550828054548906,5e-05,1e-06,7,1
9,143.7463492804794,0.5948040989434707,0.7562168023833632,0.5431934458545822,5177154.0,9780824.0,1668970.0,11630480.0,0.3461132246617825,0.7562168023833632,0.4748789012269343,55.24217092765952,0.6435578146190398,0.9558054050322714,0.5446327733038967,1661553.0,2498615.0,76827.0,2988418.0,0.39939564940646627,0.9558054050322714,0.5633769531077818,5e-05,1e-06,7,1
10,126.32298078130206,0.6020833530921498,0.7591143543412302,0.5518737205356572,5196991.0,9594968.0,1649133.0,11816336.0,0.35133892677771755,0.7591143543412302,0.4803559538985038,50.93870166562638,0.6475181418695374,0.9577537707520796,0.549230522214829,1664940.0,2473387.0,73440.0,3013646.0,0.40232200113717453,0.9577537707520796,0.5666234508543646,5e-05,1e-06,7,1
11,108.37639357580393,0.6097158241011885,0.7617903210634221,0.5610910012767087,5215311.0,9397614.0,1630813.0,12013690.0,0.3568971304512957,0.7617903210634221,0.4860710276583086,49.048552297196295,0.6451943992682494,0.9632030971364144,0.5444441467729463,1674413.0,2499650.0,63967.0,2987383.0,0.4011470358736799,0.9632030971364144,0.5664030925964106,5e-05,1e-06,7,1
12,94.32409995201074,0.6151931095781258,0.7677894820485285,0.5664014204833111,5256382.0,9283911.0,1589742.0,12127393.0,0.36150454464707144,0.7677894820485285,0.4915626586725584,42.152317892830325,0.6539518225463374,0.960351016463604,0.556879646978613,1669455.0,2431416.0,68925.0,3055617.0,0.40709766291112304,0.960351016463604,0.5718045002689557,5e-05,1e-06,7,1
13,81.22061506153848,0.6222598532322191,0.7702029644803395,0.5749560138887384,5272905.0,9100746.0,1573219.0,12310558.0,0.3668452086390577,0.7702029644803395,0.4969802931463694,37.00453898591815,0.6587335561302863,0.9602072044087023,0.563221872367088,1669205.0,2396616.0,69175.0,3090417.0,0.4105456191996647,0.9602072044087023,0.5751713284912083,5e-05,1e-06,7,1
14,69.58182202470246,0.628355984840517,0.7735485071552897,0.5819316282651444,5295809.0,8951389.0,1550315.0,12459915.0,0.37170880898826564,0.7735485071552897,0.5021313380604534,30.855362703215402,0.6670541877675366,0.9570490916830613,0.5751791541986352,1663715.0,2331006.0,74665.0,3156027.0,0.41647839736492237,0.9570490916830613,0.5803892169351282,5e-05,1e-06,7,1
15,58.97329787846425,0.6346158610047595,0.7743564095537855,0.5899347372770943,5301340.0,8780032.0,1544784.0,12631272.0,0.37647893969422863,0.7743564095537855,0.5066387302140686,26.754453641063762,0.670857568972182,0.9561373232549846,0.5804763703808598,1662130.0,2301940.0,76250.0,3185093.0,0.41929885193752886,0.9561373232549846,0.5829529412796254,5e-05,1e-06,7,1
16,49.751100445245676,0.6412057035056411,0.7776518508867207,0.5975779429407942,5323901.0,8616381.0,1522223.0,12794923.0,0.38190769741960745,0.7776518508867207,0.5122483415362906,21.911553823722983,0.6756182656963692,0.9535947261243226,0.5875508676547052,1657710.0,2263122.0,80670.0,3223911.0,0.42279546790069045,0.9535947261243226,0.5858448137302507,5e-05,1e-06,7,1
17,41.34135745486942,0.6466601277370325,0.7797880961548461,0.6040933331290799,5338526.0,8476878.0,1507598.0,12934426.0,0.3864183776312296,0.7797880961548461,0.5167600382701608,19.165484387919587,0.6752999447920832,0.955633405814609,0.5864858111842958,1661254.0,2268966.0,77126.0,3218067.0,0.422687279592491,0.955633405814609,0.5861249691281798,5e-05,1e-06,7,1
18,34.591623478026186,0.6518275477867271,0.7815334633144243,0.6103549321423861,5350475.0,8342809.0,1495649.0,13068495.0,0.3907371672127738,0.7815334633144243,0.5209960287073513,15.072766956293359,0.6799348355588809,0.9526104764205755,0.5935468221167979,1655999.0,2230222.0,82381.0,3256811.0,0.42612064522321297,0.9526104764205755,0.5888414129286681,5e-05,1e-06,7,1
