epoch,train_loss,train_acc,train_pos_acc,train_neg_acc,train_tp,train_fp,train_fn,train_tn,train_precision,train_recall,train_f1,val_loss,val_acc,val_pos_acc,val_neg_acc,val_tp,val_fp,val_fn,val_tn,val_precision,val_recall,val_f1,lr,weight_decay,pos_weight,saved_best_model
1,2087.4457540647677,0.5773791584994926,0.32600271336014364,0.6577551278520916,2231855.0,7327909.0,4614269.0,14083395.0,0.23346339930567322,0.32600271336014364,0.2720797557559822,170.286188665426,0.40074318243123264,0.555140418090406,0.35182766351140954,965045.0,3556543.0,773335.0,1930490.0,0.2134305469671275,0.555140418090406,0.30832266235226763,5e-05,1e-06,18,1
2,917.343308001333,0.462996207581242,0.6613891305503669,0.39956137188094665,4527952.0,12856174.0,2318172.0,8555130.0,0.26046474812711323,0.6613891305503669,0.37374372942912265,291.2583551946676,0.35226927512655676,0.9998164958179454,0.1471159367913406,1738061.0,4679803.0,319.0,807230.0,0.27081611576686576,0.9998164958179454,0.42619151658533017,5e-05,1e-06,18,0
3,704.2974440588206,0.42834199205957457,0.7973248804725126,0.31036213394569523,5458585.0,14766046.0,1387539.0,6645258.0,0.2698978784829251,0.7973248804725126,0.4032828046354821,391.0493909727852,0.3533187653079485,0.9998544622004395,0.1484858939248224,1738127.0,4672286.0,253.0,814747.0,0.2711411885630458,0.9998544622004395,0.42659741142031704,5e-05,1e-06,18,0
4,642.558750170667,0.42316363683205704,0.842839393502075,0.2889750666283567,5770183.0,15223971.0,1075941.0,6187333.0,0.27484713125377663,0.842839393502075,0.4145205015553365,406.77862836729804,0.3552890333050858,0.9998533117040003,0.15108073889841742,1738125.0,4658048.0,255.0,828985.0,0.2717445259845223,0.9998533117040003,0.4273437028439055,5e-05,1e-06,18,0
5,601.3401987518745,0.4293002179816224,0.8563423624813106,0.29275629359145994,5862626.0,15143010.0,983498.0,6268294.0,0.2790977621434552,0.8563423624813106,0.42098782985348143,390.46197279444283,0.3586093971375754,0.9998372047538513,0.1554581501514571,1738097.0,4634029.0,283.0,853004.0,0.2727656358333153,0.9998372047538513,0.4286038380342731,5e-05,1e-06,18,0
6,566.8367787582614,0.4396235566803886,0.8605079312031159,0.3050485388465831,5891144.0,14879817.0,954980.0,6531487.0,0.28362404609011593,0.8605079312031159,0.42663039926190616,364.65742435095444,0.36406098862445646,0.9997572452513259,0.16266222565091187,1737958.0,4594500.0,422.0,892533.0,0.2744523532568238,0.9997572452513259,0.4306759719374866,5e-05,1e-06,18,0
7,522.2315336471486,0.4528744795881635,0.8634215506467601,0.3216047467263087,5911091.0,14525327.0,935033.0,6885977.0,0.28924300726281876,0.8634215506467601,0.43332406489102077,326.72530508941077,0.3712403706196449,0.9995858212818831,0.1721704607936566,1737660.0,4542328.0,720.0,944705.0,0.27669798095155596,0.9995858212818831,0.4334198679831107,5e-05,1e-06,18,0
8,486.5487054399969,0.4656147403082828,0.86354030397346,0.3383806516408342,5911904.0,14166133.0,934220.0,7245171.0,0.29444631464719384,0.86354030397346,0.43915232864637815,295.4112669746831,0.37944294672152307,0.9993741299370679,0.18303881168565964,1737292.0,4482693.0,1088.0,1004340.0,0.2793080690709061,0.9993741299370679,0.4365952051709114,5e-05,1e-06,18,0
9,448.96485843025675,0.47771785882282,0.8642544306822372,0.35412532557568654,5916793.0,13829019.0,929331.0,7582285.0,0.29964799624345656,0.8642544306822372,0.44500656138763267,267.39860657026185,0.3887912012780446,0.9992142109320171,0.19539940802251418,1737014.0,4414870.0,1366.0,1072163.0,0.2823548038292009,0.9992142109320171,0.4402929990682187,5e-05,1e-06,18,0
10,411.25349762541424,0.48965843600486214,0.8651171086004285,0.3696079883784752,5922699.0,13497515.0,923425.0,7913789.0,0.3049759904808464,0.8651171086004285,0.45097257181415995,240.22661849687685,0.4018981337122183,0.9991083652596096,0.21269236033389993,1736830.0,4319983.0,1550.0,1167050.0,0.28675641793794854,0.9991083652596096,0.4456156505682412,5e-05,1e-06,18,0
